id,name,element,hp,atk,def,spd,total,talent,variant,series
659,Norman,Neutral,76,93,62,95,326,Dominance,-,Promised Neverland
660,Isabella,Dark,78,96,82,71,327,Berserker,DEF,Promised Neverland
661,Mujika,Grass,95,73,97,50,315,Miracle Injection,-,Promised Neverland
662,Sonju,Fire,95,97,73,50,315,Miracle Injection,-,Promised Neverland
663,Phil,Light,80,80,80,80,320,Underdog,DEF,Promised Neverland
664,Yugo,Neutral,73,98,62,95,328,Berserker,ATK,Promised Neverland
665,Roxy Migurdia,Water,70,72,96,90,328,Protector,-,Jobless Reincarnation
666,Eris Boreas Greyrat,Fire,67,84,97,78,326,Overload,DEF,Jobless Reincarnation
667,Sylphiette,Grass,70,87,80,90,327,Smokescreen,-,Jobless Reincarnation
668,Rudeus Greyrat,Light,96,81,69,82,328,Smokescreen,-,Jobless Reincarnation
669,Ghislaine Dedoldia,Ground,83,92,65,79,319,Blood Surge,-,Jobless Reincarnation
670,Zenith Greyrat,Grass,81,83,72,90,326,Paralysis,-,Jobless Reincarnation
671,Lilia Greyrat,Fire,105,92,71,79,347,Recoil,-,Jobless Reincarnation
672,Kishirika Kishirisu,Neutral,100,100,50,57,307,Soul Stealer,DEF,Jobless Reincarnation
673,Ruijerd Superdia,Grass,72,95,82,81,330,Transformation,DEF,Jobless Reincarnation
674,Baki Hanma,Light,89,82,80,75,326,Pain For Power,-,Baki The Grappler
675,Yujiro Hanma,Light,70,97,84,81,332,Double-edged Strike,Dark/DEF,Baki The Grappler
676,Gouki Shibukawa,Light,84,89,83,77,333,Underdog,ATK,Baki The Grappler
677,Doppo Orochi,Neutral,75,90,82,85,332,Ultimate Combo,-,Baki The Grappler
678,Pickle,Light,85,97,68,82,332,Double-edged Strike,Electric/DEF,Baki The Grappler
679,Biscuit Oliva,Light,82,90,73,76,321,Overload,ATK,Baki The Grappler
680,Retsu Kaioh,Fire,86,72,80,87,325,Devour,-,Baki The Grappler
681,Kaoru Hanayama,Water,83,65,96,82,326,Transformation,DEF,Baki The Grappler
682,Katsumi Orochi,Ground,80,90,71,91,332,Dexterity Drive,Fire,Baki The Grappler
683,Howl Jenkins Pendragon,Light,90,73,95,65,323,Transformation,DEF,Howls Moving Castle
684,Calcifer,Fire,79,89,89,70,327,Celestial Blessing,-,Howls Moving Castle
685,Sophie Hatter,Grass,85,80,80,70,315,Blood Surge,-,Howls Moving Castle
686,Turnip Head,Ground,100,65,85,65,315,Smokescreen,-,Howls Moving Castle
687,Markl,Grass,83,70,82,78,313,Trick Room,ATK,Howls Moving Castle
688,Witch Of The Waste,Dark,86,77,77,80,320,Freeze,-,Howls Moving Castle
689,Prince Justin,Electric,85,100,65,65,315,Precision,-,Howls Moving Castle
690,Hayase Nagatoro,Neutral,83,87,64,93,327,Dominance,-,Ijiranaide Nagatoro
691,Komi Shouko,Neutral,80,88,70,93,331,Smokescreen,-,Komi Cant Communicate
692,Kusuo Saiki,Light,81,75,83,90,329,Life Sap,-,The Disasterous Life Of Saiki K
693,Kokomi Teruhashi,Light,84,88,72,88,332,Divine Blessing,-,The Disasterous Life Of Saiki K
694,Adam Smasher,Dark,98,98,70,70,336,Overload,ATK,Cyberpunk Edgerunners
695,Faraday,Dark,85,85,80,80,330,Soul Stealer,ATK,Cyberpunk Edgerunners
696,David Martinez,Dark,75,93,70,95,333,Pain For Power,-,Cyberpunk Edgerunners
697,Doc,Dark,81,92,84,75,332,Smokescreen,-,Cyberpunk Edgerunners
698,Lucy Kushinada,Dark,78,81,80,92,331,Omniscient Hack,-,Cyberpunk Edgerunners
699,Rebecca,Dark,86,83,78,81,328,Precision,-,Cyberpunk Edgerunners
700,Maine,Dark,78,84,90,81,333,Berserker,ATK,Cyberpunk Edgerunners
701,Doraemon,Light,75,75,90,90,330,Restricted Instinct,-,Doraemon
702,Holo,Ground,84,78,90,80,332,Transformation,DEF,Spice And Wolf
703,Chihiro Rokuhira,Ground,92,90,67,85,334,Bloodthirster,-,Kagurabachi
704,Guts,Neutral,100,85,88,63,336,Devour,-,Berserk
705,Griffith,Dark,85,100,60,90,335,Elemental Strike,Dark/ATK,Berserk
706,Skull Knight,Ground,80,90,65,100,335,Executioner,-,Berserk
707,Nosferatu Zodd,Ground,95,60,96,80,331,Divine Blessing,-,Berserk
708,Casca,Grass,71,81,82,98,332,Amplifier,DEF,Berserk
709,Serpico,Water,80,87,68,96,331,Elemental Strike,Dark/ATK,Berserk
710,Father Mozgus,Fire,96,80,87,72,335,Blaze,-,Berserk
711,Grunbeld,Fire,88,83,82,81,334,Evasion,-,Berserk
712,Vlad Tepes (Dracula),Dark,88,95,65,90,338,Dominance,-,Castlevania
713,Adrian Tepes (Alucard),Fire,83,95,82,75,335,Balancing Strike,-,Castlevania
714,Sypha Belnades,Light,91,90,80,75,336,Omniscient Hack,-,Castlevania
715,Trevor Belmont,Water,85,88,90,75,338,Reflector,-,Castlevania
716,Lenore,Fire,72,94,86,85,337,Soul Stealer,DEF,Castlevania
717,Pumpknight,Fire,70,99,99,70,338,Double-edged Strike,Fire/ATK,Halloween 2023
718,Deathrattle,Dark,74,86,70,100,330,Ultimate Combo,-,Halloween 2023
719,Spectral Wraith,Dark,80,90,70,90,330,Mana Reaver,-,Halloween 2023
720,Rikka Takanashi,Dark,81,90,70,92,333,Paralysis,-,Chuunibyou Demo Koi Ga Shitai
721,Atom,Neutral,80,98,65,95,338,Omniscient Hack,-,Pluto
722,Uran,Water,89,74,77,94,334,Endurance,-,Pluto
723,Brando,Electric,87,83,100,65,335,Paralysis,-,Pluto
724,Epsilon,Grass,98,68,78,88,332,Life Sap,-,Pluto
725,Gesicht,Dark,90,62,98,90,340,Smokescreen,-,Pluto
726,Hercules,Ground,98,95,72,68,333,Reflector,-,Pluto
727,North No.2,Ground,88,88,76,81,333,Soul Stealer,ATK,Pluto
728,Conan Edogawa,Ground,80,90,76,91,337,Unlucky Coin,-,Detective Conan
729,Amiya,Dark,80,93,92,72,337,Elemental Strike,Dark/ATK,Arknights
730,Skadi,Water,92,88,80,80,340,Blood Surge,-,Arknights
731,Chongyue,Ground,75,92,81,92,340,Time Bomb,-,Arknights
732,Texas,Dark,78,76,92,94,340,Celestial Influence,-,Arknights
733,Mlynar,Electric,98,100,85,55,338,Elemental Strike,Electric/ATK,Arknights
734,Exusiai,Light,85,92,66,95,338,Precision,-,Arknights
735,Silverash,Water,85,94,78,81,338,Balancing Strike,-,Arknights
736,Santa Claus,Ground,98,98,62,81,339,Breaker,ATK,Christmas 2023
737,Kingpin Grinch,Dark,92,83,73,90,338,Poison,-,Christmas 2023
738,Winter Frost,Water,98,74,83,82,337,Devour,-,Christmas 2023
739,Yang Xiao Long,Fire,79,92,89,80,340,Reflector,-,RWBY
740,Thorfinn,Light,85,100,65,90,340,Undying Will,-,Vinland Saga
741,Thors Snorresson,Ground,85,85,85,85,340,Ultimate Combo,-,Vinland Saga
742,Thorkell,Neutral,92,92,95,85,364,Recoil,-,Vinland Saga
743,Askeladd,Neutral,88,90,70,88,336,Omniscient Hack,-,Vinland Saga
744,Bjorn,Ground,92,88,96,54,330,Berserker,DEF,Vinland Saga
745,Einar,Light,79,88,82,85,334,Smokescreen,-,Vinland Saga
746,Canute,Water,76,94,80,89,339,Grievous Limiter,-,Vinland Saga
747,Snake,Neutral,82,90,98,70,340,Dominance,-,Vinland Saga
748,Sverkel,Dark,80,70,65,91,306,Trick Room,DEF,Vinland Saga
749,Blake Belladonna,Dark,80,96,80,81,337,Omniscient Hack,-,RWBY
750,Ye Xiu,Neutral,95,87,70,87,339,Life Sap,-,The King's Avatar
751,Su Mucheng,Light,84,88,78,90,340,Ultimate Combo,-,The King's Avatar
752,Zhou Zekai,Fire,70,100,75,94,339,Breaker,DEF,The King's Avatar
753,Huang Shaotian,Ground,81,82,85,90,338,Evasion,-,The King's Avatar
754,Taki Tachibana,Water,78,92,81,89,340,Yin Yang,-,Your Name
755,Mitsuha Miyamizu,Grass,94,76,92,78,340,Yin Yang,-,Your Name
756,Long,Fire,85,100,85,70,340,Divine Blessing,-,CNY Valentines 2024
757,Nianbeast,Dark,100,85,100,55,340,Miracle Injection,-,CNY Valentines 2024
758,Cupid,Light,90,81,81,90,342,Paralysis,-,CNY Valentines 2024
759,Mash Burnedead,Neutral,95,95,95,90,375,Recoil,-,Mashle
760,Rayne Ames,Light,84,97,77,78,336,Overload,ATK,Mashle
761,Finn Ames,Light,75,90,82,88,335,Evasion,-,Mashle
762,Lance Crown,Ground,78,92,85,85,340,Endurance,-,Mashle
763,Lemon Irvine,Water,87,75,90,82,334,Paralysis,-,Mashle
764,Love Cute,Grass,82,88,85,78,333,Smokescreen,-,Mashle
765,Dot Barrett,Fire,85,88,82,85,340,Blaze,-,Mashle
766,Abel Walker,Dark,79,100,80,81,340,Omniscient Hack,-,Mashle
767,Sora (Kingdom Hearts),Neutral,92,96,88,62,338,Celestial Influence,-,Kingdom Hearts
768,Bojji,Grass,80,70,85,100,335,Evasion,-,Ousama Ranking
769,Daida,Water,82,80,82,85,329,Underdog,DEF,Ousama Ranking
770,Kage,Dark,83,85,72,96,336,Restricted Instinct,-,Ousama Ranking
771,Bosse,Ground,98,80,96,62,336,Devour,-,Ousama Ranking
772,Hilling,Light,96,84,76,74,330,Life Sap,-,Ousama Ranking
773,Miranjo,Grass,81,94,73,85,333,Omniscient Hack,-,Ousama Ranking
774,Desha,Light,84,95,78,78,335,Yin Yang,-,Ousama Ranking
775,Ouken,Neutral,95,85,82,73,335,Lethal Clarity,-,Ousama Ranking
776,Despa,Ground,82,85,76,86,329,Unlucky Coin,-,Ousama Ranking
777,Bebin,Neutral,86,86,83,85,340,Pain For Power,-,Ousama Ranking
778,Riku,Ground,95,86,85,74,340,Celestial Blessing,-,Kingdom Hearts
779,Kairi,Grass,92,84,84,80,340,Trick Room,ATK,Kingdom Hearts
780,Kiryu Moeka,Ground,80,90,85,75,330,Omniscient Hack,-,Steins Gate
781,Faris Nyannyan,Water,75,80,85,85,325,Smokescreen,-,Steins Gate
782,Julia,Neutral,70,80,90,80,320,Yin Yang,-,Cowboy Bebop
783,Laughing Bull,Fire,70,75,85,95,325,Omniscient Hack,-,Cowboy Bebop
784,Genshirou Saji,Electric,70,70,90,100,330,Reversion,-,High School DxD
785,Yuuto Kiba,Dark,60,95,75,95,325,Lethal Clarity,-,High School DxD
786,Xenovia Quarta,Light,80,85,95,65,325,Bloodthirster,-,High School DxD
787,Ravel Phenex,Dark,70,80,90,90,330,Rejuvenation,-,High School DxD
788,Euphemia Li Britannia,Ground,75,75,80,95,325,Temporal Rewind,-,Code Geass
789,V.V.,Dark,83,82,80,85,330,Undying Will,-,Code Geass
790,Nunnally Lamperouge,Electric,72,86,98,74,330,Underdog,ATK,Code Geass
791,Kaname Ohgi,Grass,76,84,81,75,316,Time Bomb,-,Code Geass
792,Sylvia Sherwood,Grass,84,80,78,82,324,Precision,-,Spy X Family
793,Fiona Frost,Water,86,75,78,84,323,Recoil,-,Spy X Family
794,Teru Mikami,Ground,89,92,75,75,331,Undying Will,-,Death Note
795,Rem (Death Note),Light,86,94,87,68,335,Devour,-,Death Note
796,Touta Matsuda,Ground,82,74,76,89,321,Freeze,-,Death Note
797,Kiwi,Grass,78,95,76,82,331,Offensive Stance,-,Cyberpunk Edgerunners
798,Sasha Yakovleva,Electric,84,74,81,84,323,Mana Reaver,-,Cyberpunk Edgerunners
799,Roxas,Electric,83,85,81,94,343,Double-edged Strike,Electric/SPD,Kingdom Hearts
800,Sung Jinwoo,Dark,85,93,68,94,340,Elemental Manipulation,Dark,Solo Leveling
801,Statue Of God,Dark,100,95,95,100,390,Cursed,-,Solo Leveling
802,Blood Red Commander Igris,Neutral,90,81,84,85,340,Undying Will,-,Solo Leveling
803,Woo Jinchul,Grass,78,85,79,80,322,Omniscient Hack,-,Solo Leveling
804,Go Gunhee,Ground,89,92,88,71,340,Overload,ATK,Solo Leveling
805,Kang Taeshik,Dark,73,89,78,100,340,Executioner,-,Solo Leveling
806,Lee Joohee,Water,81,80,82,75,318,Rejuvenation,-,Solo Leveling
807,Choi Jong In,Fire,85,92,83,80,340,Blaze,-,Solo Leveling
808,Cha Hae In,Electric,82,89,79,84,334,Lethal Clarity,-,Solo Leveling
809,Yoo Jinho,Light,80,78,100,68,326,Endurance,-,Solo Leveling
810,Song Chiyul,Fire,88,72,82,78,320,Elemental Strike,Fire/ATK,Solo Leveling
811,Infernal Fiend,Fire,75,80,90,90,335,Smokescreen,-,High Society 2024
812,Majordoma,Water,100,85,83,75,343,Omniscient Hack,-,High Society 2024
813,Majordomo,Light,80,80,90,90,340,Unlucky Coin,-,High Society 2024
814,Hellhound Overlord,Dark,82,86,74,92,334,Reflector,-,High Society 2024
815,Stone Sentinel,Ground,96,90,90,64,340,Freeze,-,High Society 2024
816,Tifa Lockhart,Light,82,96,64,98,340,Lethal Clarity,-,Final Fantasy
817,Aura,Dark,81,90,81,82,334,Yin Yang,-,Frieren: Beyond Journeys End (Soso no Frieren)
818,Denken,Grass,84,92,72,88,336,Bloodthirster,-,Frieren: Beyond Journeys End (Soso no Frieren)
819,Eisen,Electric,100,90,82,65,337,Reflector,-,Frieren: Beyond Journeys End (Soso no Frieren)
820,Fern,Light,80,93,70,88,331,Elemental Strike,Dark/ATK,Frieren: Beyond Journeys End (Soso no Frieren)
821,Frieren,Grass,92,98,80,70,340,Mana Reaver,-,Frieren: Beyond Journeys End (Soso no Frieren)
822,Himmel,Ground,100,95,93,95,383,Cursed,-,Frieren: Beyond Journeys End (Soso no Frieren)
823,Laufen,Ground,87,82,71,100,340,Lethal Clarity,-,Frieren: Beyond Journeys End (Soso no Frieren)
824,Linie,Electric,88,90,72,90,340,Omniscient Hack,-,Frieren: Beyond Journeys End (Soso no Frieren)
825,Serie,Water,90,100,70,80,340,Undying Will,-,Frieren: Beyond Journeys End (Soso no Frieren)
826,Stark,Electric,88,105,75,68,336,Berserker,ATK,Frieren: Beyond Journeys End (Soso no Frieren)
827,Ubel,Neutral,90,85,85,80,340,Miracle Injection,-,Frieren: Beyond Journeys End (Soso no Frieren)
828,Wirbel,Ground,90,78,82,90,340,Paralysis,-,Frieren: Beyond Journeys End (Soso no Frieren)
829,Gen Narumi,Ground,92,94,80,74,340,Grievous Limiter,-,Kaiju No. 8
830,Hibino Kafka,Dark,80,95,76,89,340,Amplifier,ATK,Kaiju No. 8
831,Iharu Furuhashi,Fire,92,89,81,78,340,Divine Blessing,-,Kaiju No. 8
832,Isao Shinomiya,Electric,82,98,81,79,340,Vengeance,ATK,Kaiju No. 8
833,Kaiju No 9,Grass,100,84,64,92,340,Devour,-,Kaiju No. 8
834,Kaiju No 10,Ground,81,98,70,91,340,Berserker,ATK,Kaiju No. 8
835,Kikoru Shinomiya,Electric,92,89,78,81,340,Pain For Power,-,Kaiju No. 8
836,Mina Ashiro,Dark,82,92,88,78,340,Offensive Stance,-,Kaiju No. 8
837,Reno Ichikawa,Light,88,84,84,84,340,Freeze,-,Kaiju No. 8
838,Soshiro Hoshina,Dark,84,81,79,96,340,Ultimate Combo,-,Kaiju No. 8
839,Cloud Strife,Electric,82,94,70,94,340,Evasion,-,Final Fantasy
840,Gohan,Grass,82,79,90,81,332,Berserker,ATK,Dragon Ball
841,Beerus,Light,81,88,90,70,329,Omniscient Hack,-,Dragon Ball
842,Frieza,Neutral,85,90,75,80,330,Time Attack,Dark/ATK,Dragon Ball
843,Shanks,Fire,95,82,84,72,333,Yin Yang,-,One Piece
844,Franky,Ground,83,85,75,89,332,Miracle Injection,-,One Piece
845,Jinbei,Water,83,86,76,82,327,Pain For Power,-,One Piece
846,Boa Hancock,Ground,98,66,94,69,327,Poison,-,One Piece
847,Kyoraku Shunsui,Neutral,86,89,84,71,330,Devour,-,Bleach
848,Yhwach,Dark,86,77,92,75,330,Soul Stealer,DEF,Bleach
849,Yoruichi,Electric,67,90,80,95,332,Smokescreen,-,Bleach
850,Toji Fushiguro,Light,92,97,98,93,380,Cursed,-,Jujutsu Kaisen
851,Choso,Dark,85,80,91,65,321,Blood Surge,-,Jujutsu Kaisen
852,Aoi Todo,Water,85,92,73,76,326,Trick Room,DEF,Jujutsu Kaisen
853,Johnny Joestar,Water,95,95,88,53,331,Omniscient Hack,-,Jojos Bizarre Adventure
854,Jolyne Kujo,Water,81,89,80,79,329,Amplifier,ATK,Jojos Bizarre Adventure
855,Noriaki Kakyoin,Grass,79,99,75,81,334,Lethal Clarity,-,Jojos Bizarre Adventure
856,Barou Shouei,Fire,73,98,70,88,329,Devour,-,Blue Lock
857,Ryusei Shido,Electric,83,80,78,90,331,Soul Stealer,ATK,Blue Lock
858,Squall Leonhart,Grass,84,70,94,84,332,Balancing Strike,-,Final Fantasy
859,Gabimaru,Fire,81,99,82,74,336,Omniscient Hack,-,Hells Paradise
860,Yuzuriha,Water,81,82,95,75,333,Unlucky Coin,-,Hells Paradise
861,Aza Chobei,Electric,75,80,84,87,326,Life Sap,-,Hells Paradise
862,Nurugai,Neutral,68,91,72,103,334,Evasion,-,Hells Paradise
863,Tamiya Gantetsusai,Light,90,87,80,70,327,Balancing Strike,-,Hells Paradise
864,Mei,Fire,75,100,90,70,335,Elemental Manipulation,Fire,Hells Paradise
865,Houko,Ground,91,64,87,81,323,Rejuvenation,-,Hells Paradise
866,Yamada Asaemon Sagiri,Light,75,101,70,90,336,Executioner,-,Hells Paradise
867,Yamada Asaemon Shion,Dark,74,92,65,98,329,Double-edged Strike,Neutral/ATK,Hells Paradise
868,Yamada Asaemon Senta,Neutral,95,97,102,85,379,Cursed,-,Hells Paradise
869,Yuki Yoshikawa,Grass,84,88,83,77,332,Lucky Coin,-,Horimiya
870,Remi Ayasaki,Water,75,92,70,98,335,Offensive Stance,-,Horimiya
871,Kakeru Sengoku,Dark,101,97,60,75,333,Dominance,-,Horimiya
872,Izumi Miyamura,Grass,110,65,95,65,335,Underdog,DEF,Horimiya
873,Kyouko Hori,Light,80,79,96,82,337,Poison,-,Horimiya
874,Toru Ishikawa,Water,73,90,93,75,331,Blaze,-,Horimiya
875,Shu Iura,Electric,97,97,80,70,344,Recoil,-,Horimiya
876,Sakura Kono,Grass,98,70,98,60,326,Reflector,-,Horimiya
877,Akane Yanagi,Fire,105,88,102,89,384,Cursed,-,Horimiya
878,Hallway Ogre,Grass,95,75,87,79,336,Lethal Clarity,-,Back To School 2024
879,Headmaster Gator,Water,80,95,85,74,334,Paralysis,-,Back To School 2024
880,Libram Spectre,Dark,101,70,103,60,334,Vengeance,DEF,Back To School 2024
881,Ai Hoshino,Light,82,80,90,81,333,Protector,-,Oshi No Ko
882,Aquamarine Hoshino,Water,86,85,89,76,336,Vengeance,DEF,Oshi No Ko
883,Ruby Hoshino,Fire,100,79,75,82,336,Reversion,-,Oshi No Ko
884,Kana Arima,Grass,77,95,70,89,331,Double-edged Strike,Dark/DEF,Oshi No Ko
885,Akane Kurokawa,Water,94,76,82,81,333,Devour,-,Oshi No Ko
886,Mem Cho,Electric,86,78,87,81,332,Grievous Limiter,-,Oshi No Ko
887,Frill Shiranui,Grass,83,84,80,87,334,Unlucky Coin,-,Oshi No Ko
888,Melt Narushima,Dark,87,80,85,79,331,Reflector,-,Oshi No Ko
889,Minami Kotobuki,Water,75,102,70,90,337,Overload,ATK,Oshi No Ko
890,Yuki Sumi,Light,83,79,93,77,332,Blaze,-,Oshi No Ko
891,Sephiroth,Dark,81,94,73,85,333,Devour,-,Final Fantasy
892,Tatsuya Shiba,Light,85,92,78,80,335,Blood Surge,-,The Irregular At Magic Highschool
893,Miyuki Shiba,Water,94,74,87,77,332,Arcane Affinity,Water,The Irregular At Magic Highschool
894,Mayumi Saegusa,Electric,92,86,80,75,333,Restricted Instinct,-,The Irregular At Magic Highschool
895,Mizuki Shibata,Dark,90,82,90,70,332,Mana Reaver,-,The Irregular At Magic Highschool
896,Saijo Leonhard,Electric,70,99,98,62,329,Offensive Stance,-,The Irregular At Magic Highschool
897,Erika Chiba,Ground,75,93,70,94,332,Double-edged Strike,Fire/ATK,The Irregular At Magic Highschool
898,Mari Watanabe,Electric,84,80,95,79,338,Dominance,-,The Irregular At Magic Highschool
899,Mikihiko Yoshida,Dark,95,80,95,65,335,Celestial Blessing,-,The Irregular At Magic Highschool
900,Angelina Kudou Shields,Grass,70,95,80,91,336,Overload,ATK,The Irregular At Magic Highschool
901,Ken Takakura (Okarun),Electric,73,98,81,83,335,Rising Resolve,-,Dandadan
902,Aira Shiratori,Light,95,80,60,98,333,Dexterity Drive,Ground,Dandadan
903,Seiko Ayase,Grass,93,64,80,95,332,Protector,-,Dandadan
904,Momo Ayase,Light,90,102,75,70,337,Elemental Manipulation,Light,Dandadan
905,Jin Enjoji (Jiji),Fire,94,82,75,88,339,Life Sap,-,Dandadan
906,Turbo Granny,Dark,60,100,97,85,342,Miracle Injection,-,Dandadan
907,Serpoians,Dark,83,74,105,77,339,Arcane Affinity,Dark,Dandadan
908,Lilith G.G.O,Water,90,110,90,95,385,Cursed,-,Halloween 2024
909,Writhsmile,Ground,80,79,92,80,331,Blood Surge,-,Halloween 2024
910,Akihito Shinjo,Fire,85,93,90,70,338,Unlucky Coin,-,Halloween 2024
911,Lady Of Death,Neutral,74,85,95,82,336,Yin Yang,-,Halloween 2024
912,Batman,Dark,90,85,85,76,336,Rising Resolve,-,Batman Ninja Vs Yakuza League
913,Kurome,Dark,90,87,72,80,329,Underdog,DEF,Akame Ga Kill!
914,Sheele,Dark,90,110,80,95,375,Cursed,-,Akame Ga Kill!
915,Leone,Neutral,98,82,78,75,333,Berserker,ATK,Akame Ga Kill!
916,Sasha Braus,Ground,83,80,91,84,338,Celestial Blessing,-,Attack On Titan
917,Reiner Braun,Ground,90,89,73,83,335,Transformation,DEF,Attack On Titan
918,Hange Zoe,Light,85,76,78,90,329,Trick Room,DEF,Attack On Titan
919,Zeke Yeager,Neutral,95,80,90,70,335,Elemental Manipulation,Neutral,Attack On Titan
920,Uta,Dark,89,68,89,94,340,Blaze,-,Tokyo Ghoul
921,Yakumo Oomori (Jason),Dark,70,83,93,88,334,Berserker,ATK,Tokyo Ghoul
922,Rize Kamishiro,Dark,99,98,70,70,337,Transformation,ATK,Tokyo Ghoul
923,Jinx,Dark,78,87,77,95,337,Foul Play,-,Arcane League Of Legends
924,Vi,Neutral,93,80,85,78,336,Brutality,-,Arcane League Of Legends
925,Joker,Light,95,91,70,80,336,Foul Play,-,Batman Ninja Vs Yakuza League
926,Tetsuya Kuroko,Water,100,71,96,70,337,Evasion,-,Kuroko No Basuke
927,Shintaro Midorima,Grass,88,96,71,78,333,Precision,-,Kuroko No Basuke
928,Seijuro Akashi,Fire,81,93,80,80,334,Rising Resolve,-,Kuroko No Basuke
929,Ryota Kise,Electric,78,84,84,88,334,Foul Play,-,Kuroko No Basuke
930,Aomine Daiki,Water,79,88,89,84,340,Brutality,-,Kuroko No Basuke
931,Atsushi Murasakibara,Ground,83,84,90,83,340,Yin Yang,-,Kuroko No Basuke
932,Taiga Kagami,Fire,79,89,80,90,338,Arcane Affinity,Fire,Kuroko No Basuke
933,Satsuki Momoi,Neutral,96,85,85,70,336,Grievous Limiter,-,Kuroko No Basuke
934,Teppei Kiyoshi,Neutral,70,95,95,70,330,Omniscient Hack,-,Kuroko No Basuke
935,Junpei Hyuga,Light,90,80,93,75,338,Lethal Clarity,-,Kuroko No Basuke
936,Charmander,Fire,100,75,85,79,339,Time Attack,Fire/ATK,Pokemon
937,Squirtle,Water,81,92,83,75,331,Divine Blessing,-,Pokemon
938,Pikachu,Electric,85,89,67,99,340,Balancing Strike,-,Pokemon
939,Ash Ketchum,Neutral,85,90,79,80,334,Rising Resolve,-,Pokemon
940,Brock,Ground,85,85,83,80,333,Undying Will,-,Pokemon
941,Misty,Water,86,72,90,83,331,Regeneration,-,Pokemon
942,Bulbasaur,Grass,85,92,92,70,339,Life Sap,-,Pokemon
943,Mewtwo,Dark,84,96,78,80,338,Brutality,-,Pokemon
944,Mew,Null,88,88,88,88,352,Smokescreen,-,Pokemon
945,Professor Oak,Dark,102,80,80,75,337,Omniscient Hack,-,Pokemon
946,Krampus,Dark,95,70,95,80,340,Freeze,-,Christmas 2024
947,Winter Elf,Water,94,92,70,85,341,Poison,-,Christmas 2024
948,Glacial Reindeer,Water,79,100,86,74,339,Celestial Blessing,-,Christmas 2024
949,Ekko,Electric,90,80,81,99,350,Temporal Rewind,-,Arcane League Of Legends
950,Tsuyu Asui (Froppy),Water,79,82,80,96,337,Celestial Influence,-,My Hero Academia
951,Shigaraki Tomura,Null,80,95,83,75,333,Breaker,DEF,My Hero Academia
952,Maki Zenin,Neutral,102,93,74,70,339,Miracle Injection,-,Jujutsu Kaisen
953,Ishtar,Light,91,92,78,79,340,Unlucky Coin,-,Fate
954,Ereshkigal,Light,92,70,94,80,336,Yin Yang,-,Fate
955,Shura Kirigakure,Ground,83,84,89,80,336,Soul Stealer,DEF,Ao No Exorcist
956,Alphonse Elric,Null,99,70,100,60,329,Elemental Manipulation,Dark,Fullmetal Alchemist
957,Shuna,Light,89,72,93,80,334,Ultimate Combo,-,Tensei Shitara Slime Datta Ken
958,Ryusui Nanami,Water,92,70,90,79,331,Trick Room,ATK,Dr. Stone
959,Yuzuriha Ogawa,Grass,92,67,93,82,334,Regeneration,-,Dr. Stone
960,Taiju Oki,Ground,90,79,95,70,334,Rising Resolve,-,Dr. Stone
961,Pandoras Actor,Neutral,87,80,89,80,336,Foul Play,-,Overlord
962,Cocytus,Null,100,65,87,85,337,Freeze,-,Overlord
963,Aura Bella Fiora,Light,75,90,82,91,338,Berserker,ATK,Overlord
964,Mare Bello Fiore,Grass,90,78,91,73,332,Berserker,DEF,Overlord
965,Tooru Oikawa,Water,83,91,70,91,335,Lethal Clarity,-,Haikyuu!!
966,Kotaro Bokuto,Null,73,94,91,78,336,Overload,ATK,Haikyuu!!
967,Suguru Geto,Null,82,91,84,79,336,Yin Yang,-,Jujutsu Kaisen
968,Caitlyn Kiramman,Null,86,92,80,79,337,Precision,-,Arcane League Of Legends
969,Sakamoto,Null,90,72,90,87,339,Dexterity Drive,Electric,Nichijou (My Ordinary Life)
970,Mio Naganohara,Water,91,63,95,88,337,Balancing Strike,-,Nichijou (My Ordinary Life)
971,Nano Shinonome,Ground,86,82,80,90,338,Trick Room,ATK,Nichijou (My Ordinary Life)
972,Hakase Shinonome,Light,82,80,86,86,334,Elemental Drain,-,Nichijou (My Ordinary Life)
973,Mai Minakami,Dark,97,72,80,82,331,Rejuvenation,-,Nichijou (My Ordinary Life)
974,Izumi Sakurai,Neutral,82,87,99,70,338,Blaze,-,Nichijou (My Ordinary Life)
975,Yuuko Aioi,Electric,75,92,76,94,337,Double-edged Strike,Grass/DEF,Nichijou (My Ordinary Life)
976,Wakana Gojo,Water,78,90,75,95,338,Dexterity Drive,Dark,My Dress Up Darling
977,Marin Kitagawa,Neutral,102,65,80,93,340,Transformation,DEF,My Dress Up Darling
978,Miyo Saimori,Grass,85,84,77,84,330,Trick Room,DEF,My Happy Marriage
979,Kiyoka Kudo,Ground,81,75,96,87,339,Amplifier,ATK,My Happy Marriage
980,Maomao,Light,90,90,80,85,345,Lucky Coin,-,Apothecary Diaries
981,Jinshi,Null,85,96,76,80,337,Life Sap,-,Apothecary Diaries
982,Lunar Snake,Grass,92,94,80,90,356,Recoil,-,LNY Valentines 2025
983,Love Demon,Null,88,93,90,62,333,Undying Will,-,LNY Valentines 2025
984,Medusa,Null,85,78,91,81,335,Poison,-,LNY Valentines 2025
985,Aphrodite,Electric,88,82,93,80,343,Devour,-,LNY Valentines 2025
986,Arajin Tomoshibi,Grass,80,75,81,99,335,Rising Resolve,-,Bucchigiri?!
